"GDP observation_date","Gross Domestic Product","Transaction"
"01/01/1947 12:00:00 AM","243.1","GDP"
"04/01/1947 12:00:00 AM","246.3","GDP"
"07/01/1947 12:00:00 AM","250.1","GDP"
"10/01/1947 12:00:00 AM","260.3","GDP"
"01/01/1948 12:00:00 AM","266.2","GDP"
"04/01/1948 12:00:00 AM","272.9","GDP"
"07/01/1948 12:00:00 AM","279.5","GDP"
"10/01/1948 12:00:00 AM","280.7","GDP"
"01/01/1949 12:00:00 AM","275.4","GDP"
"04/01/1949 12:00:00 AM","271.7","GDP"
"07/01/1949 12:00:00 AM","273.3","GDP"
"10/01/1949 12:00:00 AM","271","GDP"
"01/01/1950 12:00:00 AM","281.2","GDP"
"04/01/1950 12:00:00 AM","290.7","GDP"
"07/01/1950 12:00:00 AM","308.5","GDP"
"10/01/1950 12:00:00 AM","320.3","GDP"
"01/01/1951 12:00:00 AM","336.4","GDP"
"04/01/1951 12:00:00 AM","344.5","GDP"
"07/01/1951 12:00:00 AM","351.8","GDP"
"10/01/1951 12:00:00 AM","356.6","GDP"
"01/01/1952 12:00:00 AM","360.2","GDP"
"04/01/1952 12:00:00 AM","361.4","GDP"
"07/01/1952 12:00:00 AM","368.1","GDP"
"10/01/1952 12:00:00 AM","381.2","GDP"
"01/01/1953 12:00:00 AM","388.5","GDP"
"04/01/1953 12:00:00 AM","392.3","GDP"
"07/01/1953 12:00:00 AM","391.7","GDP"
"10/01/1953 12:00:00 AM","386.5","GDP"
"01/01/1954 12:00:00 AM","385.9","GDP"
"04/01/1954 12:00:00 AM","386.7","GDP"
"07/01/1954 12:00:00 AM","391.6","GDP"
"10/01/1954 12:00:00 AM","400.3","GDP"
"01/01/1955 12:00:00 AM","413.8","GDP"
"04/01/1955 12:00:00 AM","422.2","GDP"
"07/01/1955 12:00:00 AM","430.9","GDP"
"10/01/1955 12:00:00 AM","437.8","GDP"
"01/01/1956 12:00:00 AM","440.5","GDP"
"04/01/1956 12:00:00 AM","446.8","GDP"
"07/01/1956 12:00:00 AM","452","GDP"
"10/01/1956 12:00:00 AM","461.3","GDP"
"01/01/1957 12:00:00 AM","470.6","GDP"
"04/01/1957 12:00:00 AM","472.8","GDP"
"07/01/1957 12:00:00 AM","480.3","GDP"
"10/01/1957 12:00:00 AM","475.7","GDP"
"01/01/1958 12:00:00 AM","468.4","GDP"
"04/01/1958 12:00:00 AM","472.8","GDP"
"07/01/1958 12:00:00 AM","486.7","GDP"
"10/01/1958 12:00:00 AM","500.4","GDP"
"01/01/1959 12:00:00 AM","511.1","GDP"
"04/01/1959 12:00:00 AM","524.2","GDP"
"07/01/1959 12:00:00 AM","525.2","GDP"
"10/01/1959 12:00:00 AM","529.3","GDP"
"01/01/1960 12:00:00 AM","543.3","GDP"
"04/01/1960 12:00:00 AM","542.7","GDP"
"07/01/1960 12:00:00 AM","546","GDP"
"10/01/1960 12:00:00 AM","541.1","GDP"
"01/01/1961 12:00:00 AM","545.9","GDP"
"04/01/1961 12:00:00 AM","557.4","GDP"
"07/01/1961 12:00:00 AM","568.2","GDP"
"10/01/1961 12:00:00 AM","581.6","GDP"
"01/01/1962 12:00:00 AM","595.2","GDP"
"04/01/1962 12:00:00 AM","602.6","GDP"
"07/01/1962 12:00:00 AM","609.6","GDP"
"10/01/1962 12:00:00 AM","613.1","GDP"
"01/01/1963 12:00:00 AM","622.7","GDP"
"04/01/1963 12:00:00 AM","631.8","GDP"
"07/01/1963 12:00:00 AM","645","GDP"
"10/01/1963 12:00:00 AM","654.8","GDP"
"01/01/1964 12:00:00 AM","671.1","GDP"
"04/01/1964 12:00:00 AM","680.8","GDP"
"07/01/1964 12:00:00 AM","692.8","GDP"
"10/01/1964 12:00:00 AM","698.4","GDP"
"01/01/1965 12:00:00 AM","719.2","GDP"
"04/01/1965 12:00:00 AM","732.4","GDP"
"07/01/1965 12:00:00 AM","750.2","GDP"
"10/01/1965 12:00:00 AM","773.1","GDP"
"01/01/1966 12:00:00 AM","797.3","GDP"
"04/01/1966 12:00:00 AM","807.2","GDP"
"07/01/1966 12:00:00 AM","820.8","GDP"
"10/01/1966 12:00:00 AM","834.9","GDP"
"01/01/1967 12:00:00 AM","846","GDP"
"04/01/1967 12:00:00 AM","851.1","GDP"
"07/01/1967 12:00:00 AM","866.6","GDP"
"10/01/1967 12:00:00 AM","883.2","GDP"
"01/01/1968 12:00:00 AM","911.1","GDP"
"04/01/1968 12:00:00 AM","936.3","GDP"
"07/01/1968 12:00:00 AM","952.3","GDP"
"10/01/1968 12:00:00 AM","970.1","GDP"
"01/01/1969 12:00:00 AM","995.4","GDP"
"04/01/1969 12:00:00 AM","1011.4","GDP"
"07/01/1969 12:00:00 AM","1032","GDP"
"10/01/1969 12:00:00 AM","1040.7","GDP"
"01/01/1970 12:00:00 AM","1053.5","GDP"
"04/01/1970 12:00:00 AM","1070.1","GDP"
"07/01/1970 12:00:00 AM","1088.5","GDP"
"10/01/1970 12:00:00 AM","1091.5","GDP"
"01/01/1971 12:00:00 AM","1137.8","GDP"
"04/01/1971 12:00:00 AM","1159.4","GDP"
"07/01/1971 12:00:00 AM","1180.3","GDP"
"10/01/1971 12:00:00 AM","1193.6","GDP"
"01/01/1972 12:00:00 AM","1233.8","GDP"
"04/01/1972 12:00:00 AM","1270.1","GDP"
"07/01/1972 12:00:00 AM","1293.8","GDP"
"10/01/1972 12:00:00 AM","1332","GDP"
"01/01/1973 12:00:00 AM","1380.7","GDP"
"04/01/1973 12:00:00 AM","1417.6","GDP"
"07/01/1973 12:00:00 AM","1436.8","GDP"
"10/01/1973 12:00:00 AM","1479.1","GDP"
"01/01/1974 12:00:00 AM","1494.7","GDP"
"04/01/1974 12:00:00 AM","1534.2","GDP"
"07/01/1974 12:00:00 AM","1563.4","GDP"
"10/01/1974 12:00:00 AM","1603","GDP"
"01/01/1975 12:00:00 AM","1619.6","GDP"
"04/01/1975 12:00:00 AM","1656.4","GDP"
"07/01/1975 12:00:00 AM","1713.8","GDP"
"10/01/1975 12:00:00 AM","1765.9","GDP"
"01/01/1976 12:00:00 AM","1824.5","GDP"
"04/01/1976 12:00:00 AM","1856.9","GDP"
"07/01/1976 12:00:00 AM","1890.5","GDP"
"10/01/1976 12:00:00 AM","1938.4","GDP"
"01/01/1977 12:00:00 AM","1992.5","GDP"
"04/01/1977 12:00:00 AM","2060.2","GDP"
"07/01/1977 12:00:00 AM","2122.4","GDP"
"10/01/1977 12:00:00 AM","2168.7","GDP"
"01/01/1978 12:00:00 AM","2208.7","GDP"
"04/01/1978 12:00:00 AM","2336.6","GDP"
"07/01/1978 12:00:00 AM","2398.9","GDP"
"10/01/1978 12:00:00 AM","2482.2","GDP"
"01/01/1979 12:00:00 AM","2531.6","GDP"
"04/01/1979 12:00:00 AM","2595.9","GDP"
"07/01/1979 12:00:00 AM","2670.4","GDP"
"10/01/1979 12:00:00 AM","2730.7","GDP"
"01/01/1980 12:00:00 AM","2796.5","GDP"
"04/01/1980 12:00:00 AM","2799.9","GDP"
"07/01/1980 12:00:00 AM","2860","GDP"
"10/01/1980 12:00:00 AM","2993.5","GDP"
"01/01/1981 12:00:00 AM","3131.8","GDP"
"04/01/1981 12:00:00 AM","3167.3","GDP"
"07/01/1981 12:00:00 AM","3261.2","GDP"
"10/01/1981 12:00:00 AM","3283.5","GDP"
"01/01/1982 12:00:00 AM","3273.8","GDP"
"04/01/1982 12:00:00 AM","3331.3","GDP"
"07/01/1982 12:00:00 AM","3367.1","GDP"
"10/01/1982 12:00:00 AM","3407.8","GDP"
"01/01/1983 12:00:00 AM","3480.3","GDP"
"04/01/1983 12:00:00 AM","3583.8","GDP"
"07/01/1983 12:00:00 AM","3692.3","GDP"
"10/01/1983 12:00:00 AM","3796.1","GDP"
"01/01/1984 12:00:00 AM","3912.8","GDP"
"04/01/1984 12:00:00 AM","4015","GDP"
"07/01/1984 12:00:00 AM","4087.4","GDP"
"10/01/1984 12:00:00 AM","4147.6","GDP"
"01/01/1985 12:00:00 AM","4237","GDP"
"04/01/1985 12:00:00 AM","4302.3","GDP"
"07/01/1985 12:00:00 AM","4394.6","GDP"
"10/01/1985 12:00:00 AM","4453.1","GDP"
"01/01/1986 12:00:00 AM","4516.3","GDP"
"04/01/1986 12:00:00 AM","4555.2","GDP"
"07/01/1986 12:00:00 AM","4619.6","GDP"
"10/01/1986 12:00:00 AM","4669.4","GDP"
"01/01/1987 12:00:00 AM","4736.2","GDP"
"04/01/1987 12:00:00 AM","4821.5","GDP"
"07/01/1987 12:00:00 AM","4900.5","GDP"
"10/01/1987 12:00:00 AM","5022.7","GDP"
"01/01/1988 12:00:00 AM","5090.6","GDP"
"04/01/1988 12:00:00 AM","5207.7","GDP"
"07/01/1988 12:00:00 AM","5299.5","GDP"
"10/01/1988 12:00:00 AM","5412.7","GDP"
"01/01/1989 12:00:00 AM","5527.4","GDP"
"04/01/1989 12:00:00 AM","5628.4","GDP"
"07/01/1989 12:00:00 AM","5711.6","GDP"
"10/01/1989 12:00:00 AM","5763.4","GDP"
"01/01/1990 12:00:00 AM","5890.8","GDP"
"04/01/1990 12:00:00 AM","5974.7","GDP"
"07/01/1990 12:00:00 AM","6029.5","GDP"
"10/01/1990 12:00:00 AM","6023.3","GDP"
"01/01/1991 12:00:00 AM","6054.9","GDP"
"04/01/1991 12:00:00 AM","6143.6","GDP"
"07/01/1991 12:00:00 AM","6218.4","GDP"
"10/01/1991 12:00:00 AM","6279.3","GDP"
"01/01/1992 12:00:00 AM","6380.8","GDP"
"04/01/1992 12:00:00 AM","6492.3","GDP"
"07/01/1992 12:00:00 AM","6586.5","GDP"
"10/01/1992 12:00:00 AM","6697.6","GDP"
"01/01/1993 12:00:00 AM","6748.2","GDP"
"04/01/1993 12:00:00 AM","6829.6","GDP"
"07/01/1993 12:00:00 AM","6904.2","GDP"
"10/01/1993 12:00:00 AM","7032.8","GDP"
"01/01/1994 12:00:00 AM","7136.3","GDP"
"04/01/1994 12:00:00 AM","7269.8","GDP"
"07/01/1994 12:00:00 AM","7352.3","GDP"
"10/01/1994 12:00:00 AM","7476.7","GDP"
"01/01/1995 12:00:00 AM","7545.3","GDP"
"04/01/1995 12:00:00 AM","7604.9","GDP"
"07/01/1995 12:00:00 AM","7706.5","GDP"
"10/01/1995 12:00:00 AM","7799.5","GDP"
"01/01/1996 12:00:00 AM","7893.1","GDP"
"04/01/1996 12:00:00 AM","8061.5","GDP"
"07/01/1996 12:00:00 AM","8159","GDP"
"10/01/1996 12:00:00 AM","8287.1","GDP"
"01/01/1997 12:00:00 AM","8402.1","GDP"
"04/01/1997 12:00:00 AM","8551.9","GDP"
"07/01/1997 12:00:00 AM","8691.8","GDP"
"10/01/1997 12:00:00 AM","8788.3","GDP"
"01/01/1998 12:00:00 AM","8889.7","GDP"
"04/01/1998 12:00:00 AM","8994.7","GDP"
"07/01/1998 12:00:00 AM","9146.5","GDP"
"10/01/1998 12:00:00 AM","9325.7","GDP"
"01/01/1999 12:00:00 AM","9447.1","GDP"
"04/01/1999 12:00:00 AM","9557","GDP"
"07/01/1999 12:00:00 AM","9712.3","GDP"
"10/01/1999 12:00:00 AM","9926.1","GDP"
"01/01/2000 12:00:00 AM","10031","GDP"
"04/01/2000 12:00:00 AM","10278.3","GDP"
"07/01/2000 12:00:00 AM","10357.4","GDP"
"10/01/2000 12:00:00 AM","10472.3","GDP"
"01/01/2001 12:00:00 AM","10508.1","GDP"
"04/01/2001 12:00:00 AM","10638.4","GDP"
"07/01/2001 12:00:00 AM","10639.5","GDP"
"10/01/2001 12:00:00 AM","10701.3","GDP"
"01/01/2002 12:00:00 AM","10834.4","GDP"
"04/01/2002 12:00:00 AM","10934.8","GDP"
"07/01/2002 12:00:00 AM","11037.1","GDP"
"10/01/2002 12:00:00 AM","11103.8","GDP"
"01/01/2003 12:00:00 AM","11230.1","GDP"
"04/01/2003 12:00:00 AM","11370.7","GDP"
"07/01/2003 12:00:00 AM","11625.1","GDP"
"10/01/2003 12:00:00 AM","11816.8","GDP"
"01/01/2004 12:00:00 AM","11988.4","GDP"
"04/01/2004 12:00:00 AM","12181.4","GDP"
"07/01/2004 12:00:00 AM","12367.7","GDP"
"10/01/2004 12:00:00 AM","12562.2","GDP"
"01/01/2005 12:00:00 AM","12813.7","GDP"
"04/01/2005 12:00:00 AM","12974.1","GDP"
"07/01/2005 12:00:00 AM","13205.4","GDP"
"10/01/2005 12:00:00 AM","13381.6","GDP"
"01/01/2006 12:00:00 AM","13648.9","GDP"
"04/01/2006 12:00:00 AM","13799.8","GDP"
"07/01/2006 12:00:00 AM","13908.5","GDP"
"10/01/2006 12:00:00 AM","14066.4","GDP"
"01/01/2007 12:00:00 AM","14233.2","GDP"
"04/01/2007 12:00:00 AM","14422.3","GDP"
"07/01/2007 12:00:00 AM","14569.7","GDP"
"10/01/2007 12:00:00 AM","14685.3","GDP"
"01/01/2008 12:00:00 AM","14668.4","GDP"
"04/01/2008 12:00:00 AM","14813","GDP"
"07/01/2008 12:00:00 AM","14843","GDP"
"10/01/2008 12:00:00 AM","14549.9","GDP"
"01/01/2009 12:00:00 AM","14383.9","GDP"
"04/01/2009 12:00:00 AM","14340.4","GDP"
"07/01/2009 12:00:00 AM","14384.1","GDP"
"10/01/2009 12:00:00 AM","14566.5","GDP"
"01/01/2010 12:00:00 AM","14681.1","GDP"
"04/01/2010 12:00:00 AM","14888.6","GDP"
"07/01/2010 12:00:00 AM","15057.7","GDP"
"10/01/2010 12:00:00 AM","15230.2","GDP"
"01/01/2011 12:00:00 AM","15238.4","GDP"
"04/01/2011 12:00:00 AM","15460.9","GDP"
"07/01/2011 12:00:00 AM","15587.1","GDP"
"10/01/2011 12:00:00 AM","15785.3","GDP"
"01/01/2012 12:00:00 AM","15973.9","GDP"
"04/01/2012 12:00:00 AM","16121.9","GDP"
"07/01/2012 12:00:00 AM","16227.9","GDP"
"10/01/2012 12:00:00 AM","16297.3","GDP"
"01/01/2013 12:00:00 AM","16440.7","GDP"
"04/01/2013 12:00:00 AM","16526.8","GDP"
"07/01/2013 12:00:00 AM","16727.5","GDP"
"10/01/2013 12:00:00 AM","16957.6","GDP"
"01/01/2014 12:00:00 AM","16984.3","GDP"
"04/01/2014 12:00:00 AM","17270","GDP"
"07/01/2014 12:00:00 AM","17522.1","GDP"
"10/01/2014 12:00:00 AM","17615.9","GDP"
"01/01/2015 12:00:00 AM","17649.3","GDP"
"04/01/2015 12:00:00 AM","17913.7","GDP"
"07/01/2015 12:00:00 AM","18060.2","GDP"
"10/01/2015 12:00:00 AM","18164.8","GDP"
"01/01/2016 12:00:00 AM","18221.1","GDP"
"04/01/2016 12:00:00 AM","18450.1","GDP"
"07/01/2016 12:00:00 AM","18651.2","GDP"
